player_id,direction,origin_league,destination_league,origin_season,destination_season,origin_team,destination_team,seasons_gap,player_age_at_migration
2134,NBA_to_EL,NBA,EuroLeague,2011/12,2013/14,OKC,BC Budivelnyk,1,26
2134,NBA_to_EL,NBA,EuroLeague,2012/13,2013/14,TOT,BC Budivelnyk,0,26
2148,NBA_to_EL,NBA,EuroLeague,2012/13,2013/14,DET,Montepaschi Siena,0,25
2178,EL_to_NBA,EuroLeague,NBA,2013/14,2015/16,Real Madrid,DAL,1,29
2178,EL_to_NBA,EuroLeague,NBA,2014/15,2015/16,Real Madrid,DAL,0,29
2178,NBA_to_EL,NBA,EuroLeague,2017/18,2019/20,DAL,Real Madrid,1,33
2178,NBA_to_EL,NBA,EuroLeague,2018/19,2019/20,DAL,Real Madrid,0,33
2179,NBA_to_EL,NBA,EuroLeague,2011/12,2013/14,CHA,Olympiacos Piraeus,1,33
2184,NBA_to_EL,NBA,EuroLeague,2011/12,2013/14,DAL,Baskonia Vitoria-Gasteiz,1,34
2184,NBA_to_EL,NBA,EuroLeague,2012/13,2013/14,LAC,Baskonia Vitoria-Gasteiz,0,34
2187,EL_to_NBA,EuroLeague,NBA,2015/16,2017/18,Anadolu Efes Istanbul,CLE,1,22
2187,EL_to_NBA,EuroLeague,NBA,2016/17,2017/18,Anadolu Efes Istanbul,CLE,0,22
2187,NBA_to_EL,NBA,EuroLeague,2022/23,2024/25,CLE,Panathinaikos AKTOR Athens,1,29
2187,NBA_to_EL,NBA,EuroLeague,2023/24,2024/25,SAS,Panathinaikos AKTOR Athens,0,29
2201,EL_to_NBA,EuroLeague,NBA,2020/21,2021/22,Crvena Zvezda Meridianbet Belgrade,CHI,0,35
2201,EL_to_NBA,EuroLeague,NBA,2021/22,2022/23,Crvena Zvezda Meridianbet Belgrade,CHI,0,36
2230,NBA_to_EL,NBA,EuroLeague,2012/13,2014/15,BKN,EA7 Emporio Armani Milan,1,25
2230,NBA_to_EL,NBA,EuroLeague,2013/14,2014/15,TOT,EA7 Emporio Armani Milan,0,25
2232,NBA_to_EL,NBA,EuroLeague,2013/14,2014/15,TOR,Valencia Basket,0,25
2232,NBA_to_EL,NBA,EuroLeague,2017/18,2019/20,DET,Olympiacos Piraeus,1,30
2251,NBA_to_EL,NBA,EuroLeague,2013/14,2014/15,OKC,Baskonia Vitoria-Gasteiz,0,32
2255,NBA_to_EL,NBA,EuroLeague,2012/13,2014/15,IND,Baskonia Vitoria-Gasteiz,1,27
2266,EL_to_NBA,EuroLeague,NBA,2015/16,2017/18,Anadolu Efes Istanbul,PHI,1,20
2266,EL_to_NBA,EuroLeague,NBA,2016/17,2017/18,Anadolu Efes Istanbul,PHI,0,20
2266,NBA_to_EL,NBA,EuroLeague,2022/23,2024/25,PHI,AS Monaco,1,27
2266,NBA_to_EL,NBA,EuroLeague,2023/24,2024/25,PHI,AS Monaco,0,27
2292,EL_to_NBA,EuroLeague,NBA,2014/15,2016/17,FC Barcelona,WAS,1,25
2292,EL_to_NBA,EuroLeague,NBA,2015/16,2016/17,FC Barcelona,WAS,0,25
