spec,threshold,subset,group,metric,n,n_players,mean_delta,sd_delta,median_delta,ci_lo,ci_hi,rank_biserial,wilcoxon_p,mean_pre,mean_post
harmonised,200,all,ALL,mean_dist,12,6,0.5871042405505019,0.7311112221857173,0.7913602826750417,0.17681116463941196,0.9750436494756518,0.5,0.01611328125,4.6551337509421,5.242237991492602
harmonised,200,all,ALL,pps_over_sxsv,12,6,-0.025496763564672797,0.062226175152138845,-0.028701155196573847,-0.05730484923127423,0.010581857247531983,-0.5,0.17626953125,-0.012204313149895054,-0.03770107671456785
harmonised,200,all,EL_to_NBA,efg,10,6,-0.038067605744263724,0.04279593187793563,-0.04838260556016738,-0.06264216580892423,-0.012783249604561094,-0.4,0.02734375,0.5335764473426635,0.49550884159839975
harmonised,200,all,EL_to_NBA,pps,10,6,-0.07613521148852745,0.08559186375587126,-0.09676521112033476,-0.12528433161784847,-0.025566499209122188,-0.4,0.02734375,1.067152894685327,0.9910176831967995
harmonised,200,all,EL_to_NBA,sxsv,10,6,-0.031684851997021236,0.07259306601528943,-0.01897730079274107,-0.07792433781699874,0.008475054745502779,-0.2,0.322265625,1.0620960874808287,1.0304112354838073
harmonised,200,all,EL_to_NBA,smoe,10,6,-0.01266409200062025,0.020898167869026988,-0.013690080705991616,-0.024942637003825378,-0.00010719742241367371,-0.4,0.130859375,0.0001744502400008801,-0.012489641760619369
harmonised,200,all,EL_to_NBA,three_rate,10,6,0.08702951953667157,0.14578344423934503,0.15180420094443667,-0.0021726815060774756,0.1714556246738952,0.4,0.083984375,0.4487353450965549,0.5357648646332265
harmonised,200,all,EL_to_NBA,mean_dist,10,6,0.6259320296456423,0.7844404969342216,0.880984411319413,0.14374031763432837,1.0738992593103664,0.4,0.02734375,4.622243270210225,5.248175299855867
harmonised,200,all,EL_to_NBA,pps_over_sxsv,10,6,-0.04445035949150622,0.044738946358363764,-0.03557668459034763,-0.07107744204968286,-0.01727035763642206,-0.8,0.013671875,0.005056807204498348,-0.039393552287007874
league_specific,50,all,ALL,efg,46,16,-0.006665830412265853,0.08672288175875623,-0.022006738501728296,-0.03127304358572036,0.017790180437226657,-0.08695652173913043,0.5807290955643225,0.49416778120569993,0.48750195079343406
league_specific,50,all,ALL,pps,46,16,-0.013331660824531705,0.17344576351751245,-0.04401347700345659,-0.06254608717144072,0.035580360874453314,-0.08695652173913043,0.5807290955643225,0.9883355624113999,0.9750039015868681
league_specific,50,all,ALL,sxsv,46,16,-0.027034481941754295,0.12141857516122453,-0.01813315729401177,-0.06403497823632769,0.005140431347357333,-0.34782608695652173,0.20712819215054878,1.0166199256443382,0.989585443702584
league_specific,50,all,ALL,smoe,46,16,0.004509373074390044,0.06490676751842606,0.00984370804626123,-0.014080810633600381,0.02268012607639623,0.13043478260869565,0.5298006435543527,-0.010294180140189768,-0.005784807065799721
league_specific,50,all,ALL,three_rate,46,16,0.002617571743849312,0.19228259913805593,0.011985191692150059,-0.051816497086305154,0.05740185639112767,0.1111111111111111,0.7221716931581559,0.3985123754837453,0.4011299472275944
league_specific,50,all,ALL,mean_dist,46,16,0.050510317631786206,1.0889372303684295,0.07663895431472545,-0.26797146785867154,0.3617269832940012,0.13043478260869565,0.6415382537348648,4.690821743892404,4.741332061524189
league_specific,50,all,ALL,pps_over_sxsv,46,16,0.01370282111722259,0.15899754263085,0.03959617064755866,-0.03219606750966232,0.057846574506559126,0.17391304347826086,0.4812016318748249,-0.028284363232938346,-0.01458154211571575
league_specific,50,all,EL_to_NBA,efg,22,11,-0.030873850840458995,0.09383338523838061,-0.047830175672627956,-0.06896468588976437,0.008214330991034646,-0.36363636363636365,0.11287164688110352,0.5203164364662505,0.48944258562579157
league_specific,50,all,EL_to_NBA,pps,22,11,-0.06174770168091799,0.18766677047676122,-0.09566035134525591,-0.13792937177952874,0.01642866198206929,-0.36363636363636365,0.11287164688110352,1.040632872932501,0.9788851712515831
league_specific,50,all,EL_to_NBA,sxsv,22,11,0.0073048996981086274,0.08600386322230395,-0.01118001176248884,-0.027124143523908337,0.04406024377959649,-0.36363636363636365,0.8485937118530273,1.0240366820333622,1.031341581731471
league_specific,50,all,EL_to_NBA,smoe,22,11,-0.027933092878579847,0.05900383023004043,-0.019404242903160326,-0.05188125254413345,-0.005031433971912443,-0.2727272727272727,0.050072669982910156,0.00979142441852348,-0.018141668460056375
league_specific,50,all,EL_to_NBA,three_rate,22,11,-0.041789988594337225,0.18745629084210738,-0.034736553675313114,-0.11937890310713971,0.03625631098898227,-0.09090909090909091,0.4434065818786621,0.5140964404587971,0.47230645186445985
league_specific,50,all,EL_to_NBA,mean_dist,22,11,-0.16790730410103522,1.0878837059754443,-0.09465616552129408,-0.6315870370174335,0.2850596654605238,-0.09090909090909091,0.5660676956176758,5.1170968532804615,4.949189549179426
league_specific,50,all,EL_to_NBA,pps_over_sxsv,22,11,-0.06905260137902663,0.14358749979633173,-0.06726787352000713,-0.12731364395087963,-0.013498424636687089,-0.2727272727272727,0.050072669982910156,0.01659619089913861,-0.052456410479888
league_specific,50,all,NBA_to_EL,efg,24,14,0.015524854980244529,0.07484156425687838,0.011623975045696094,-0.014660887554722854,0.04541014775495794,0.16666666666666666,0.3902466297149658,0.47019818055019535,0.4857230355304399
league_specific,50,all,NBA_to_EL,pps,24,14,0.031049709960489058,0.14968312851375676,0.02324795009139219,-0.029321775109445707,0.09082029550991588,0.16666666666666666,0.3902466297149658,0.9403963611003907,0.9714460710608798
league_specific,50,all,NBA_to_EL,sxsv,24,14,-0.05851224844496198,0.14116881195130704,-0.043506836481977895,-0.11976676414502684,-0.007389979493376627,-0.3333333333333333,0.10738253593444824,1.009821232287733,0.9513089838427712
league_specific,50,all,NBA_to_EL,smoe,24,14,0.03424830019794577,0.05598466385752285,0.025151466898234956,0.013058962280666213,0.055947665504757854,0.5,0.007189035415649414,-0.02870598431901024,0.0055423158789355415
league_specific,50,all,NBA_to_EL,three_rate,24,14,0.04332450205385364,0.19141076193740023,0.02724089635854341,-0.03274123182654257,0.11834019509286083,0.30434782608695654,0.144312678876656,0.29256031592328086,0.3358848179771345
league_specific,50,all,NBA_to_EL,mean_dist,24,14,0.25072647088687255,1.0732998518633845,0.08242357314287219,-0.17474870115323363,0.6533914648673301,0.3333333333333333,0.2405325174331665,4.300069560286685,4.550796031173558
league_specific,50,all,NBA_to_EL,pps_over_sxsv,24,14,0.08956195840545104,0.13446647153905303,0.08723551264647983,0.03853061081559352,0.14160847576737595,0.5833333333333334,0.004810690879821777,-0.06942487118734222,0.020137087218108803
league_specific,100,all,ALL,efg,31,11,-0.022632643198224504,0.07692341221312525,-0.023645546372819126,-0.0489116322546419,0.003785630550659352,-0.0967741935483871,0.1756664952263236,0.5156564030984959,0.4930237599002715
league_specific,100,all,ALL,pps,31,11,-0.04526528639644901,0.1538468244262505,-0.04729109274563825,-0.0978232645092838,0.007571261101318704,-0.0967741935483871,0.1756664952263236,1.0313128061969918,0.986047519800543
league_specific,100,all,ALL,sxsv,31,11,-0.010210644921642522,0.07321293190521252,-0.01726225708444984,-0.035291020332813706,0.01567184070157422,-0.41935483870967744,0.31757172010838985,1.029403736897639,1.0191930919759966
league_specific,100,all,ALL,smoe,31,11,-0.014795402139592937,0.05868076976371698,-0.01686293514017929,-0.03525465835282987,0.005023572466364829,-0.0967741935483871,0.26389263197779655,0.0030988738318734185,-0.01169652830771952
league_specific,100,all,ALL,three_rate,31,11,-0.023831080077031056,0.18923091185205462,0.01364379084967321,-0.08990181925434576,0.03919078657647972,0.0967741935483871,0.8091655615717173,0.46534817335775336,0.44151709328072236
league_specific,100,all,ALL,mean_dist,31,11,-0.09334985751821391,1.026319228397486,0.038577132299749906,-0.4524610881248386,0.254654313483328,0.03225806451612903,0.8392556216567755,4.939947500457075,4.84659764293886
league_specific,100,all,ALL,pps_over_sxsv,31,11,-0.035054641474806476,0.1416228475850298,-0.021566113836661183,-0.08431667207235721,0.012932250454660635,-0.0967741935483871,0.3081742124632001,0.0019090692993527503,-0.033145572175453726
league_specific,100,all,EL_to_NBA,efg,19,11,-0.05131319806133359,0.07784106480128654,-0.048648648648648596,-0.08446148976493226,-0.016436700757589875,-0.47368421052631576,0.012359619140625,0.540353170634379,0.48903997257304554
