spec,group,metric,n,mean_pre,mean_post,mean_delta,ci_lo,ci_hi,rank_biserial,wilcoxon_p
harmonised,NBA_to_EL,efg,12,0.4765531878333477,0.49933142316837936,0.022778235335031566,-0.003946495448982589,0.050008362791454306,0.5,0.17626953125
harmonised,NBA_to_EL,pps,12,0.9531063756666954,0.9986628463367587,0.04555647067006313,-0.007892990897965179,0.10001672558290861,0.5,0.17626953125
harmonised,NBA_to_EL,sxsv,12,1.0304543451806023,1.0250180666281477,-0.0054362785524549135,-0.035059175902237755,0.023236998317572068,-0.16666666666666666,0.791015625
harmonised,NBA_to_EL,smoe,12,-0.02901222095966384,-0.011992798337268561,0.01701942262239527,-0.004394823733252659,0.036773206334196826,0.5,0.12939453125
harmonised,NBA_to_EL,three_rate,12,0.4321136759389606,0.41533771785151224,-0.0167759580874484,-0.1267488878787934,0.07932119665743996,0.3333333333333333,0.67724609375
harmonised,NBA_to_EL,mean_dist,12,4.882921718610631,4.7138158654391535,-0.1691058531714772,-0.7656994754834838,0.36883266914423296,0.16666666666666666,0.9697265625
harmonised,NBA_to_EL,pps_over_sxsv,12,-0.07734796951390689,-0.02635522029138886,0.05099274922251804,0.0012759614086169317,0.09638002300655205,0.6666666666666666,0.05224609375
league_specific,ALL,efg,31,0.5156564030984959,0.4930237599002715,-0.022632643198224504,-0.0489116322546419,0.003785630550659352,-0.0967741935483871,0.1756664952263236
league_specific,ALL,pps,31,1.0313128061969918,0.986047519800543,-0.04526528639644901,-0.0978232645092838,0.007571261101318704,-0.0967741935483871,0.1756664952263236
league_specific,ALL,sxsv,31,1.029403736897639,1.0191930919759966,-0.010210644921642522,-0.035291020332813706,0.01567184070157422,-0.41935483870967744,0.31757172010838985
league_specific,ALL,smoe,31,0.0030988738318734185,-0.01169652830771952,-0.014795402139592937,-0.03525465835282987,0.005023572466364829,-0.0967741935483871,0.26389263197779655
league_specific,ALL,three_rate,31,0.46534817335775336,0.44151709328072236,-0.023831080077031056,-0.08990181925434576,0.03919078657647972,0.0967741935483871,0.8091655615717173
league_specific,ALL,mean_dist,31,4.939947500457075,4.84659764293886,-0.09334985751821391,-0.4524610881248386,0.254654313483328,0.03225806451612903,0.8392556216567755
league_specific,ALL,pps_over_sxsv,31,0.0019090692993527503,-0.033145572175453726,-0.035054641474806476,-0.08431667207235721,0.012932250454660635,-0.0967741935483871,0.3081742124632001
league_specific,EL_to_NBA,efg,19,0.540353170634379,0.48903997257304554,-0.05131319806133359,-0.08446148976493226,-0.016436700757589875,-0.47368421052631576,0.012359619140625
league_specific,EL_to_NBA,pps,19,1.080706341268758,0.9780799451460911,-0.10262639612266718,-0.16892297952986451,-0.03287340151517975,-0.47368421052631576,0.012359619140625
league_specific,EL_to_NBA,sxsv,19,1.03058526186139,1.0226853050084486,-0.007899956852941337,-0.03788625964580498,0.023901769576662703,-0.47368421052631576,0.3954620361328125
league_specific,EL_to_NBA,smoe,19,0.022659000251470808,-0.014664391436947345,-0.03732339168841815,-0.06188567450633113,-0.012949529900604032,-0.47368421052631576,0.01082611083984375
league_specific,EL_to_NBA,three_rate,19,0.48633838225383313,0.45805143565706546,-0.028286946596767473,-0.11445018734726498,0.057530641164270827,-0.05263157894736842,0.70855712890625
league_specific,EL_to_NBA,mean_dist,19,4.975963783728513,4.930459818201833,-0.045503965526679215,-0.49990733194220316,0.42828403102213486,-0.05263157894736842,0.8905677795410156
league_specific,EL_to_NBA,pps_over_sxsv,19,0.05012107940736808,-0.04460535986235776,-0.09472643926972585,-0.15205518004950902,-0.03581621584805849,-0.47368421052631576,0.00945281982421875
league_specific,NBA_to_EL,efg,12,0.4765531878333477,0.49933142316837936,0.022778235335031566,-0.003946495448982589,0.050008362791454306,0.5,0.17626953125
league_specific,NBA_to_EL,pps,12,0.9531063756666954,0.9986628463367587,0.04555647067006313,-0.007892990897965179,0.10001672558290861,0.5,0.17626953125
