spec,sample,group,metric,n,n_players,mean_pre,mean_post,mean_delta,ci_lo,ci_hi,wilcoxon_p
league_specific,all 31 episodes,EL_to_NBA,sxsv,19,11,1.03058526186139,1.0226853050084486,-0.007899956852941337,-0.03788625964580498,0.023901769576662703,0.3954620361328125
league_specific,all 31 episodes,EL_to_NBA,smoe,19,11,0.022659000251470808,-0.014664391436947345,-0.03732339168841815,-0.06188567450633113,-0.012949529900604032,0.01082611083984375
league_specific,all 31 episodes,NBA_to_EL,efg,12,8,0.4765531878333477,0.49933142316837936,0.022778235335031566,-0.003946495448982589,0.050008362791454306,0.17626953125
league_specific,all 31 episodes,NBA_to_EL,pps,12,8,0.9531063756666954,0.9986628463367587,0.04555647067006313,-0.007892990897965179,0.10001672558290861,0.17626953125
league_specific,all 31 episodes,NBA_to_EL,sxsv,12,8,1.0275329890383669,1.0136637546746143,-0.01386923436375273,-0.0565266782964303,0.029145993141423392,0.6220703125
league_specific,all 31 episodes,NBA_to_EL,smoe,12,8,-0.027871326332489118,-0.006997411686442131,0.020873914646046987,-0.0034719080294405703,0.04327506648939376,0.12939453125
league_specific,one episode per distinct move,ALL,efg,19,11,0.5004960507392129,0.49409923799650923,-0.006396812742703884,-0.04507871994441276,0.028098956717792778,0.9529838562011719
league_specific,one episode per distinct move,ALL,pps,19,11,1.0009921014784258,0.9881984759930185,-0.012793625485407767,-0.09015743988882552,0.056197913435585556,0.9529838562011719
league_specific,one episode per distinct move,ALL,sxsv,19,11,1.0163887598336736,1.0232401246720697,0.006851364838396025,-0.022474177714267452,0.037248018910211664,0.8905677795410156
league_specific,one episode per distinct move,ALL,smoe,19,11,-0.0037053606505454096,-0.013212239782263938,-0.00950687913171853,-0.0386501748848126,0.01693936906267907,0.8905677795410156
league_specific,one episode per distinct move,EL_to_NBA,efg,11,11,0.526858314687643,0.4904872697552213,-0.03637104493242164,-0.08535618334408192,0.012637775116397328,0.240234375
league_specific,one episode per distinct move,EL_to_NBA,pps,11,11,1.053716629375286,0.9809745395104426,-0.07274208986484328,-0.17071236668816384,0.025275550232794656,0.240234375
league_specific,one episode per distinct move,EL_to_NBA,sxsv,11,11,1.0094222114835256,1.024756072720405,0.015333861236879541,-0.016421903581230773,0.05312856929488441,0.8310546875
league_specific,one episode per distinct move,EL_to_NBA,smoe,11,11,0.021877146016526676,-0.014254341553787686,-0.03613148757031436,-0.07479940219473129,0.0011104886643478128,0.1748046875
league_specific,one episode per distinct move,NBA_to_EL,efg,8,8,0.4642479378101218,0.49906569432827985,0.03481775651815803,-0.004451864012088057,0.07017508403873915,0.1484375
league_specific,one episode per distinct move,NBA_to_EL,pps,8,8,0.9284958756202436,0.9981313886565597,0.06963551303631606,-0.008903728024176114,0.1403501680774783,0.1484375
league_specific,one episode per distinct move,NBA_to_EL,sxsv,8,8,1.0259677638151272,1.0211556961056085,-0.004812067709518808,-0.053578981368245814,0.04650483398498384,0.84375
league_specific,one episode per distinct move,NBA_to_EL,smoe,8,8,-0.03888130731776953,-0.011779349846418784,0.02710195747135074,0.0025044400588711455,0.05301173410485669,0.109375
