player_id,direction,gap,origin_league,origin_year,age,position,height_cm,included_100,fga_min_side,games_played,minutes_per_game,fga_per_game,efg_pct,three_pt_pct,points_per_game,turnovers_per_game,ft_attempts_total,fga_total,prior_fga_per_game,prior_efg_pct,prior_three_pt_pct,prior_minutes_per_game,has_prior_season
1017,NBA_to_EL,1,NBA,2014,31,Forward,213.0,False,0,29.0,27.07,12.45,0.4751,36.6,14.83,1.45,107.0,361.0,11.95,0.4721,27.8,29.93,True
1017,NBA_to_EL,0,NBA,2015,31,Forward,213.0,False,0,46.0,13.78,6.07,0.4606,18.8,6.61,0.57,57.0,279.0,12.45,0.4751,36.6,27.07,True
1018,NBA_to_EL,0,NBA,2002,27,Forward,206.0,False,0,16.0,6.62,1.56,0.6,0.0,2.5,0.38,12.0,25.0,,,,,False
1018,EL_to_NBA,1,EuroLeague,2004,30,Forward,206.0,False,0,24.0,23.6146,8.1,0.6821,,14.6,1.4,135.0,195.0,8.0,0.625,,23.8333,True
1018,EL_to_NBA,0,EuroLeague,2005,30,Forward,206.0,False,0,25.0,24.31,7.7,0.6425,57.14,12.8,2.2,109.0,193.0,8.1,0.6821,,23.6146,True
1040,NBA_to_EL,0,NBA,2006,28,Guard,186.0,False,0,41.0,10.54,3.44,0.4965,34.6,4.07,0.44,32.0,141.0,,,,,False
1042,EL_to_NBA,1,EuroLeague,2004,27,Forward,202.0,False,0,11.0,,,0.6167,45.45,,,17.0,60.0,9.0,0.4398,25.71,25.4583,True
1042,EL_to_NBA,0,EuroLeague,2005,27,Forward,202.0,False,0,15.0,18.25,6.0,0.5667,39.13,7.3,0.4,10.0,90.0,,0.6167,45.45,,True
1042,NBA_to_EL,1,NBA,2007,30,Forward,202.0,False,0,17.0,10.24,3.82,0.4538,34.6,4.0,0.24,10.0,65.0,6.88,0.6076,46.1,19.5,True
1042,NBA_to_EL,0,NBA,2008,30,Forward,202.0,False,0,59.0,10.68,3.51,0.4952,34.2,3.8,0.29,25.0,207.0,3.82,0.4538,34.6,10.24,True
1062,EL_to_NBA,1,EuroLeague,2003,25,Guard,193.0,False,0,20.0,30.55,12.0,0.5744,39.6,19.4,2.2,122.0,242.0,,,,,False
1062,EL_to_NBA,0,EuroLeague,2004,25,Guard,193.0,False,0,22.0,30.7386,11.1,0.584,40.16,17.9,2.3,118.0,244.0,12.0,0.5744,39.6,30.55,True
1062,NBA_to_EL,0,NBA,2005,26,Guard,193.0,False,0,19.0,7.11,2.16,0.378,25.0,2.32,0.42,15.0,41.0,,,,,False
1077,EL_to_NBA,1,EuroLeague,2003,19,Center,210.0,False,0,7.0,,,0.4375,,,,2.0,16.0,,,,,False
1077,EL_to_NBA,0,EuroLeague,2004,19,Center,210.0,False,0,11.0,,,0.4681,,,,16.0,47.0,,0.4375,,,True
1086,NBA_to_EL,0,NBA,2002,39,Center,220.0,False,0,78.0,15.5,4.63,0.4806,50.0,6.1,0.96,164.0,361.0,,,,,False
1093,EL_to_NBA,1,EuroLeague,2004,23,Forward,210.0,False,0,10.0,,,0.5526,50.0,,,18.0,19.0,3.1,0.5213,35.71,13.1167,True
1093,EL_to_NBA,0,EuroLeague,2005,23,Forward,210.0,False,0,20.0,12.2,3.2,0.627,46.67,4.9,0.8,33.0,63.0,,0.5526,50.0,,True
1096,EL_to_NBA,1,EuroLeague,2008,25,Center,211.0,False,0,17.0,24.7059,8.2,0.6547,,14.0,2.1,93.0,139.0,8.5,0.6179,,22.526,True
1096,EL_to_NBA,0,EuroLeague,2009,25,Center,211.0,False,0,16.0,26.6646,8.9,0.5352,,13.0,1.4,88.0,142.0,8.2,0.6547,,24.7059,True
1116,NBA_to_EL,0,NBA,2003,25,Forward,203.0,False,0,14.0,10.43,3.5,0.5612,100.0,4.29,0.79,8.0,49.0,3.75,0.466,0.0,12.4,True
1116,EL_to_NBA,0,EuroLeague,2004,26,Forward,203.0,False,0,11.0,,,0.6786,,,,21.0,28.0,,,,,False
1124,NBA_to_EL,0,NBA,2003,24,Guard,184.0,False,0,6.0,5.67,3.0,0.2222,0.0,1.83,1.0,3.0,18.0,,,,,False
1130,NBA_to_EL,1,NBA,2002,24,Center,209.0,False,0,12.0,6.0,1.67,0.3,0.0,1.58,0.58,18.0,20.0,,,,,False
1130,NBA_to_EL,0,NBA,2003,24,Center,209.0,False,0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.67,0.3,0.0,6.0,True
1131,NBA_to_EL,1,NBA,2002,33,Forward,201.0,False,0,31.0,6.23,2.29,0.3803,21.1,1.97,0.45,9.0,71.0,5.17,0.5072,38.5,11.82,True
1131,NBA_to_EL,0,NBA,2003,33,Forward,201.0,False,0,7.0,5.0,1.71,0.3333,40.0,1.14,0.29,1.0,12.0,2.29,0.3803,21.1,6.23,True
1133,NBA_to_EL,1,NBA,2002,31,Center,211.0,False,0,11.0,6.36,1.55,0.2353,0.0,1.0,0.18,4.0,17.0,1.81,0.4082,0.0,5.67,True
1133,NBA_to_EL,0,NBA,2003,31,Center,211.0,False,0,59.0,10.85,1.98,0.4017,0.0,1.92,0.42,27.0,117.0,1.55,0.2353,0.0,6.36,True
1139,NBA_to_EL,0,NBA,2003,26,Guard,196.0,False,0,55.0,26.67,9.53,0.4256,34.3,10.11,1.51,142.0,524.0,8.53,0.4707,35.4,24.87,True
1140,EL_to_NBA,1,EuroLeague,2008,24,Center,210.0,False,0,12.0,19.1153,4.9,0.4915,,6.6,1.1,37.0,59.0,4.9,0.5,,19.3133,True
1140,EL_to_NBA,0,EuroLeague,2009,24,Center,210.0,False,0,10.0,,,0.4762,,,,38.0,42.0,4.9,0.4915,,19.1153,True
1140,NBA_to_EL,1,NBA,2010,26,Center,210.0,False,0,37.0,14.35,2.62,0.5979,0.0,4.05,0.86,54.0,97.0,,,,,False
1140,NBA_to_EL,0,NBA,2011,26,Center,210.0,False,0,28.0,11.89,2.64,0.527,0.0,3.54,0.57,41.0,74.0,2.62,0.5979,0.0,14.35,True
1144,EL_to_NBA,0,EuroLeague,2004,19,Center,217.0,False,0,15.0,8.71667,1.6,0.3696,25.0,1.5,0.8,16.0,23.0,,,,,False
1155,NBA_to_EL,1,NBA,2002,31,Center,208.0,False,0,62.0,12.63,4.77,0.3834,14.3,4.31,0.76,58.0,296.0,,,,,False
1155,EL_to_NBA,0,EuroLeague,2004,32,Center,208.0,False,0,19.0,17.1053,5.5,0.5096,,6.5,1.8,25.0,104.0,,,,,False
1155,NBA_to_EL,1,NBA,2006,35,Center,208.0,False,0,23.0,7.13,2.83,0.4,27.3,2.61,0.3,13.0,65.0,3.02,0.5039,28.6,8.24,True
1176,EL_to_NBA,1,EuroLeague,2004,23,Forward,202.0,False,0,19.0,24.2763,4.7,0.6461,33.33,8.2,0.7,52.0,89.0,,,,,False
1176,EL_to_NBA,0,EuroLeague,2005,23,Forward,202.0,False,0,22.0,23.1591,6.2,0.5296,39.53,7.9,1.1,39.0,135.0,4.7,0.6461,33.33,24.2763,True
1179,NBA_to_EL,0,NBA,2003,26,Forward,198.0,False,0,41.0,12.39,3.17,0.3885,30.0,3.0,0.37,27.0,130.0,,,,,False
1181,EL_to_NBA,1,EuroLeague,2004,19,Forward,207.0,False,0,6.0,,,0.3,11.11,,,2.0,15.0,,,,,False
1181,NBA_to_EL,0,NBA,2006,20,Forward,207.0,False,0,66.0,14.74,5.5,0.4573,36.5,6.09,0.77,89.0,363.0,,,,,False
1181,EL_to_NBA,1,EuroLeague,2007,22,Forward,207.0,False,0,22.0,18.0553,6.3,0.4286,24.14,6.1,0.8,26.0,140.0,,,,,False
1181,EL_to_NBA,0,EuroLeague,2008,22,Forward,207.0,False,0,22.0,20.8136,8.5,0.5403,40.26,10.5,1.2,38.0,186.0,6.3,0.4286,24.14,18.0553,True
1181,NBA_to_EL,0,NBA,2010,24,Forward,207.0,False,0,60.0,25.08,8.45,0.4714,29.8,9.52,1.05,104.0,507.0,9.0,0.4986,33.6,23.43,True
